open,high,low,close,volume,emaSlow,emaFast,rsi,atr,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,emaSignal,totalSignal,rsiSignal
852.32,852.44,850.26,851.0,67733,,,,,,,,,,0,0.0,0.0
853.82,853.97,852.0,852.27,50014,,,,,,,,,,0,0.0,0.0
852.88,854.5,852.88,853.84,35301,,,,,,,,,,0,0.0,0.0
852.2,853.5,852.0,853.39,39094,,,,,,,,,,0,0.0,0.0
850.69,853.4,850.25,852.2,66909,,,,,,,,,,0,0.0,0.0
853.67,853.9,850.0,850.87,53100,,,,,,,,,,0,0.0,0.0
853.44,854.0,851.83,853.67,50527,,,,,,,,,,0,0.0,0.0
855.8,856.0,853.0,853.0,61099,,,,2.972476623737369,,,,,,0,0.0,0.0
857.1,857.34,855.33,855.5,28080,,,,3.2481591947488364,,,,,,0,0.0,0.0
856.61,857.35,856.5,857.25,24747,,,853.299,2.981937328657106,,,,,,0,0.0,0.0
856.71,857.29,856.5,856.69,24594,,,853.9155454545454,2.5835185778646097,,,,,,0,0.0,0.0
857.075,857.5,856.5,856.7,20066,,,854.4218099173553,2.306468977488676,,,,,,0,0.0,0.0
856.49,857.5,855.77,857.075,21219,,,854.9042081141997,2.2087479392714067,,,,,,0,0.0,0.0
856.3,857.4,855.75,856.56,27971,,,855.2052611843452,2.116490441645544,,,,,,0,0.0,0.0
855.745,857.8,855.73,856.53,33649,,,855.4461227871915,2.108981321052851,851.1175385972883,854.4363333333333,857.7551280693783,0.7768383919484524,0.8154257544052984,0,0.0,2.0
856.93,857.25,854.76,855.8,39627,,,855.5104640986112,2.169395843299343,851.7081078659506,854.7563333333333,857.8045588007159,0.7132384630588965,0.6711924983624729,0,0.0,2.0
858.46,858.99,855.65,857.2,35355,,,855.8176524443182,2.3521377876068463,852.0821550989103,855.0849999999999,858.0878449010895,0.7023500356314492,0.8521660408156096,0,0.0,2.0
858.52,859.9,858.0,858.46,35525,,,856.298079272624,2.405732011858277,852.186799210904,855.393,858.599200789096,0.7496439155092426,0.9782919414202956,0,0.0,2.0
856.0,858.7,855.0,858.52,43468,,,856.7020648594196,2.6029259138708407,852.4362922984902,855.735,859.0337077015098,0.7709647733258038,0.9221350074038543,0,0.0,2.0
855.02,856.55,854.55,855.765,63067,,,856.5316894304342,2.8092519454666287,852.9927201067431,855.9726666666667,858.9526132265902,0.6962714292100104,0.46515597469774556,0,0.0,2.0
857.7,858.0,855.0,855.02,77405,,,856.2568368067189,2.8378102358970754,854.0270796349452,856.2493333333333,858.4715870317215,0.5190669614274717,0.22340391778288238,0,0.0,2.0
860.475,860.67,857.33,857.8,46538,,,856.5374119327699,3.2559751021811905,854.4922829676572,856.5246666666667,858.5570503656762,0.4745651300198855,0.8137530905101216,0,0.0,2.0
861.6,861.97,859.98,860.5,31716,,,857.2578824904481,3.39109894816262,855.0059830609474,857.0246666666667,859.043350272386,0.4710911329007119,1.3607919843127219,0,0.0,2.0
861.494,864.09,861.0,861.96,48813,,,858.1128129467302,3.420357649326592,854.8166398119104,857.4553333333333,860.0940268547563,0.6154707817059388,1.3535789833291214,0,0.0,2.0
860.4,862.0,858.76,861.01,63670,,,858.6395742291429,3.3939388544187103,854.7546695373105,857.706,860.6573304626895,0.6881916327248493,1.0597475514465253,0,0.0,2.0
858.89,875.28,858.7,860.53,93775,,,858.9832880056624,5.318461223185097,854.8629189265205,857.962,861.0610810734795,0.7224285162931483,0.9143163633206839,0,0.0,2.0
869.05,869.49,858.77,859.77,139598,,,859.1263265500875,6.104390900662861,855.0423287368005,858.1666666666665,861.2910045965325,0.7281424579217685,0.7565876946291528,0,0.0,2.0
871.27,871.75,868.94,868.96,64839,,,860.9142671773443,6.957043964337526,853.8949500891086,858.9590000000001,864.0230499108915,1.1791133013080746,1.487450773193458,0,0.0,2.0
872.72,873.47,871.0,871.01,21903,,,862.7498549632817,6.602736151916572,853.2532039673667,859.9223333333334,866.5914626993001,1.5511003976638236,1.3312679255592323,0,0.0,2.0
873.39,875.28,872.72,872.86,358993,,857.7236666666665,864.5880631517759,6.265630602969773,852.9368504162978,861.0110000000001,869.0851495837023,1.875504397435631,1.233761486405779,0,0.0,2.0
874.5,874.8,873.0,873.15,18883,,858.7189139784946,866.1447789423621,5.641562288499795,853.211563356633,862.1676666666667,871.1237699767005,2.0775780990860095,1.1131200675761215,0,0.0,2.0
875.239,875.239,873.4,874.26,29602,,859.7215646895595,867.6202736801145,5.129750504516868,853.5308825206571,863.3050000000001,873.079117479343,2.2643486321388098,1.0604086518886577,0,0.0,2.0
874.78,875.45,873.82,874.72,31243,,860.6892056773299,868.9111330110027,4.62615718244154,853.9528260602845,864.389,874.8251739397156,2.414693833381859,0.9949610872565426,0,0.0,2.0
875.0,954.737,874.0,874.72,46561,,861.5944182142764,869.9672906453659,15.566711159465155,854.6462468151584,865.4689999999999,876.2917531848415,2.501014637113873,0.927386628984441,0,0.0,2.0
874.645,877.39,874.54,874.875,144138,,862.4512299423877,870.8596014371176,13.740368919477316,856.1304673852092,866.7429999999999,877.3555326147907,2.448830302590452,0.883131920304604,0,0.0,2.0
873.33,875.0,873.09,874.67,34326,,863.2395376880402,871.5524011758234,12.042611832797302,858.1749478893864,868.053,877.9310521106136,2.275909906564131,0.8349344549868422,0,0.0,2.0
872.13,1038.975,300.271,873.3,27531,,863.8885997726828,871.8701464165828,116.25674277806644,859.9466143278061,869.0863333333333,878.2260523388605,2.103293690161332,0.7305140160281974,0,0.0,2.0
